taxon_id,rank_level,existing_active,new_active
14182,10.0,True,False
935847,20.0,True,False
50040,10.0,True,False
49771,10.0,True,False
48575,10.0,True,False
69049,5.0,True,False
64744,20.0,True,False
64878,10.0,True,False
66314,10.0,True,False
70159,5.0,True,False
113305,10.0,True,False
124301,10.0,True,False
125876,10.0,True,False
105402,10.0,True,False
109275,10.0,True,False
105815,10.0,True,False
107241,10.0,True,False
103711,10.0,True,False
149646,5.0,True,False
149647,5.0,True,False
142423,20.0,True,False
144486,10.0,True,False
148592,10.0,True,False
138434,10.0,True,False
139105,20.0,True,False
136332,20.0,False,True
179934,10.0,True,False
187357,10.0,True,False
164489,10.0,True,False
169376,10.0,True,False
164541,10.0,True,False
161174,10.0,True,False
207175,5.0,True,False
206952,10.0,True,False
197300,10.0,True,False
197679,10.0,False,True
192898,10.0,True,False
192656,10.0,True,False
217503,10.0,True,False
227895,10.0,True,False
222578,10.0,True,False
225202,10.0,True,False
228030,10.0,True,False
227103,10.0,True,False
255322,10.0,True,False
270298,10.0,True,False
268635,10.0,True,False
284316,10.0,True,False
288164,10.0,True,False
287261,10.0,True,False
294955,10.0,True,False
294972,10.0,True,False
292120,10.0,True,False
312878,5.0,True,False
312869,5.0,True,False
315262,5.0,True,False
301257,10.0,True,False
306110,10.0,True,False
345251,10.0,True,False
342486,10.0,True,False
344723,10.0,True,False
339769,10.0,True,False
359836,20.0,True,False
358365,5.0,True,False
367591,10.0,True,False
360788,10.0,True,False
413442,5.0,True,False
414586,15.0,True,False
414637,15.0,True,False
414741,15.0,True,False
414777,15.0,True,False
449345,10.0,True,False
440166,10.0,True,False
434323,10.0,True,False
434253,10.0,True,False
453043,10.0,True,False
451562,5.0,True,False
451908,10.0,True,False
460586,10.0,True,False
486162,10.0,True,False
481227,33.0,True,False
487435,10.0,True,False
502484,10.0,True,False
511715,5.0,True,False
517411,10.0,True,False
510741,10.0,True,False
515426,5.0,True,False
543156,10.0,True,False
544174,20.0,True,False
527384,10.0,True,False
522303,5.0,True,False
526657,10.0,True,False
527312,10.0,True,False
534330,10.0,False,True
535996,10.0,True,False
552357,10.0,True,False
555946,10.0,True,False
557894,5.0,True,False
558832,20.0,True,False
575554,20.0,True,False
586667,10.0,True,False
612967,10.0,True,False
613272,10.0,True,False
611439,10.0,True,False
598914,5.0,False,True
595744,10.0,False,True
623377,10.0,True,False
630518,10.0,True,False
635090,10.0,True,False
653993,10.0,True,False
675104,10.0,True,False
684910,10.0,False,True
683117,5.0,True,False
684026,10.0,True,False
663321,10.0,True,False
663034,10.0,True,False
665997,10.0,True,False
669013,10.0,True,False
668665,10.0,True,False
668689,10.0,True,False
668697,10.0,True,False
668699,10.0,True,False
714389,5.0,True,False
718671,5.0,True,False
718045,5.0,True,False
713939,10.0,True,False
712819,10.0,True,False
718709,5.0,True,False
699189,5.0,True,False
698936,10.0,True,False
709740,10.0,True,False
704057,5.0,True,False
708895,10.0,True,False
702096,10.0,True,False
732851,10.0,True,False
720309,5.0,True,False
723771,5.0,True,False
720957,5.0,True,False
723110,5.0,True,False
721257,5.0,True,False
727270,5.0,True,False
751585,10.0,True,False
751586,20.0,True,False
758912,10.0,True,False
769227,10.0,True,False
790892,10.0,True,False
793573,10.0,True,False
792933,5.0,True,False
779798,10.0,True,False
779757,10.0,True,False
787765,10.0,True,False
782888,10.0,True,False
808763,10.0,True,False
805811,10.0,False,True
835320,10.0,True,False
830419,10.0,True,False
823356,10.0,True,False
823764,10.0,True,False
845108,10.0,True,False
843517,10.0,True,False
848555,10.0,True,False
848226,20.0,True,False
867762,5.0,True,False
884552,5.0,True,False
884583,5.0,True,False
885165,10.0,True,False
885149,10.0,True,False
888770,10.0,True,False
905604,5.0,True,False
906246,5.0,True,False
905993,10.0,True,False
900967,10.0,True,False
894872,10.0,True,False
911831,10.0,True,False
924238,10.0,True,False
922517,10.0,True,False
950192,10.0,True,False
959961,5.0,True,False
955146,10.0,True,False
955491,10.0,True,False
951650,10.0,True,False
945156,10.0,True,False
948689,10.0,True,False
974651,20.0,True,False
977682,10.0,True,False
968122,10.0,True,False
987771,5.0,True,False
989032,10.0,True,False
994570,10.0,True,False
992502,10.0,True,False
994537,20.0,True,False
1001758,10.0,True,False
1008546,10.0,True,False
1002681,10.0,True,False
1026382,5.0,True,False
1023969,10.0,True,False
1045336,10.0,True,False
1046749,10.0,True,False
1032626,10.0,True,False
1056467,5.0,False,True
1057296,5.0,True,False
1056169,5.0,True,False
1057965,5.0,True,False
1053396,5.0,True,False
1052172,5.0,True,False
1069985,20.0,True,False
1069633,20.0,True,False
1079505,10.0,True,False
1075986,5.0,True,False
1099526,10.0,True,False
1096608,10.0,True,False
1092805,10.0,True,False
1083545,10.0,True,False
1089985,5.0,True,False
1084888,10.0,True,False
1118696,10.0,True,False
1118702,10.0,True,False
1118705,10.0,True,False
1118712,10.0,True,False
1118715,10.0,True,False
1119820,10.0,True,False
1113030,10.0,True,False
1113036,10.0,True,False
1107454,5.0,True,False
1147764,10.0,True,False
1145344,10.0,True,False
1141750,10.0,True,False
1143639,10.0,True,False
1134755,5.0,True,False
1134766,5.0,True,False
1134770,5.0,True,False
1137058,10.0,True,False
1167729,10.0,True,False
1156383,10.0,True,False
1157582,10.0,True,False
1213377,10.0,True,False
1214909,10.0,True,False
1215296,10.0,True,False
1217607,10.0,True,False
1207416,10.0,True,False
1224468,5.0,True,False
1224876,10.0,True,False
1237898,10.0,True,False
1263311,10.0,True,False
1261522,10.0,True,False
1261951,10.0,True,False
1261925,10.0,True,False
1251416,20.0,True,False
1257197,10.0,True,False
1279632,10.0,True,False
1272277,10.0,True,False
1281477,10.0,True,False
1285633,10.0,True,False
1284156,10.0,True,False
1303776,10.0,True,False
1303970,10.0,True,False
1337765,10.0,True,False
1333262,20.0,True,False
1333333,10.0,True,False
1333928,10.0,True,False
1333619,10.0,True,False
1337867,10.0,True,False
1339759,5.0,True,False
1330836,12.0,True,False
1315266,10.0,True,False
1315550,10.0,True,False
1315848,10.0,True,False
1313522,10.0,True,False
1317200,10.0,True,False
1355757,10.0,True,False
1362911,10.0,True,False
1366068,20.0,True,False
1362947,10.0,True,False
1362939,10.0,True,False
1368099,10.0,True,False
1370007,5.0,True,False
1374544,20.0,True,False
1378445,10.0,True,False
1377534,10.0,True,False
1374640,15.0,True,False
1394606,11.0,True,False
1392774,10.0,True,False
1387011,10.0,False,True
1389652,10.0,True,False
1382596,10.0,False,True
1411968,10.0,True,False
1415323,10.0,True,False
1416658,10.0,True,False
1411448,10.0,True,False
1438171,5.0,True,False
1473752,20.0,True,False
1475772,15.0,True,False
1444852,10.0,True,False
1440883,10.0,True,False
1467384,25.0,True,False
1461880,10.0,True,False
1451785,10.0,True,False
13707,10.0,True,False
7228,20.0,True,False
7237,10.0,True,False
52719,5.0,True,False
53083,10.0,False,True
49755,10.0,True,False
60930,10.0,True,False
83746,5.0,False,True
80481,5.0,True,False
31233,5.0,True,False
31232,5.0,True,False
111468,10.0,True,False
119417,10.0,True,False
125907,5.0,True,False
126241,5.0,True,False
125509,5.0,True,False
126002,10.0,True,False
124312,20.0,True,False
122695,5.0,True,False
123092,25.0,True,False
108905,10.0,True,False
108091,10.0,True,False
157772,10.0,True,False
154392,5.0,True,False
155066,5.0,True,False
131376,10.0,True,False
176053,30.0,True,False
173579,20.0,True,False
188000,10.0,False,True
206180,10.0,True,False
207211,10.0,True,False
216048,10.0,True,False
210915,5.0,True,False
215602,10.0,True,False
235087,5.0,True,False
225877,10.0,True,False
225884,10.0,True,False
225890,10.0,True,False
227100,10.0,True,False
227268,10.0,True,False
243235,5.0,True,False
255312,10.0,True,False
255619,10.0,True,False
257869,10.0,True,False
255311,10.0,True,False
274569,10.0,True,False
12483,10.0,True,False
14035,10.0,True,False
10021,10.0,True,False
8179,10.0,True,False
4807,10.0,True,False
51115,10.0,True,False
56122,5.0,True,False
53910,5.0,True,False
55200,10.0,True,False
61056,20.0,True,False
67383,10.0,True,False
87090,20.0,True,False
88031,20.0,True,False
84047,5.0,True,False
82018,10.0,True,False
89772,20.0,True,False
82019,20.0,True,False
126806,5.0,True,False
124311,10.0,True,False
125870,10.0,True,False
129518,10.0,True,False
126275,10.0,True,False
107228,10.0,True,False
102851,10.0,True,False
108856,10.0,True,False
109612,10.0,True,False
107196,10.0,True,False
154690,5.0,True,False
